LH,RF,LF,RH
0.005533333333333362,0.005533333333333362,-0.13219999999999993,-0.13219999999999993
0.009330796557275173,0.009330796557275173,-0.6240025367760582,-0.6240025367760582
0.013128252944994895,0.013128252944994895,-0.6202050803883387,-0.6202050803883387
0.01692570805212261,0.01692570805212261,-0.6164076252812108,-0.6164076252812108
0.020723169975034192,0.020723169975034192,-0.6126101633582991,-0.6126101633582991
0.024520640902780944,0.024520640902780944,-0.6088126924305525,-0.6088126924305525
0.0283181280435479,0.0283181280435479,-0.6050152052897857,-0.6050152052897857
0.032116946057001786,0.032116946057001786,-0.6012163872763316,-0.6012163872763316
0.035917002779924156,0.035917002779924156,-0.5974163305534094,-0.5974163305534094
0.03971722751927065,0.03971722751927065,-0.5936161058140628,-0.5936161058140628
0.0435168300413082,0.0435168300413082,-0.5898165032920253,-0.5898165032920253
0.04731527565262328,0.04731527565262328,-0.5860180576807102,-0.5860180576807102
0.051112259238126984,0.051112259238126984,-0.5822210740952066,-0.5822210740952066
0.05490767841413424,0.05490767841413424,-0.5784256549191992,-0.5784256549191992
0.05870160592714148,0.05870160592714148,-0.574631727406192,-0.574631727406192
0.06249426140304798,0.06249426140304798,-0.5708390719302855,-0.5708390719302855
0.06628598252839052,0.06628598252839052,-0.5670473508049428,-0.5670473508049428
0.07007719572569537,0.07007719572569537,-0.5632561376076382,-0.5632561376076382
0.07386838637014789,0.07386838637014789,-0.5594649469631857,-0.5594649469631857
0.07766006858520513,0.07766006858520513,-0.5556732647481283,-0.5556732647481283
0.08145275465113433,0.08145275465113433,-0.5518805786821991,-0.5518805786821991
0.0852469240632549,0.0852469240632549,-0.5480864092700786,-0.5480864092700786
0.08904299228629309,0.08904299228629309,-0.5442903410470404,-0.5442903410470404
0.09284127936155143,0.09284127936155143,-0.540492053971782,-0.540492053971782
0.09664112112361997,0.09664112112361997,-0.5366922122097135,-0.5366922122097135
0.10044137900410546,0.10044137900410546,-0.5328919543292279,-0.5328919543292279
0.1042411948690745,0.1042411948690745,-0.529092138464259,-0.529092138464259
0.10803997251406906,0.10803997251406906,-0.5252933608192644,-0.5252933608192644
0.1118373518408647,0.1118373518408647,-0.5214959814924687,-0.5214959814924687
0.1156331821114493,0.1156331821114493,-0.5177001512218841,-0.5177001512218841
0.11942749441825266,0.11942749441825266,-0.5139058389150808,-0.5139058389150808
0.1232204734830208,0.1232204734830208,-0.5101128598503126,-0.5101128598503126
0.12701242887256334,0.12701242887256334,-0.5063209044607702,-0.5063209044607702
0.13080376569895888,0.13080376569895888,-0.5025295676343746,-0.5025295676343746
-0.12091445592383314,-0.12091445592383314,-0.4987383784777689,-0.4987383784777689
-0.1030539412961846,-0.1030539412961846,-0.4949468305042052,-0.4949468305042052
-0.08520544146531148,-0.08520544146531148,-0.4911544122102478,-0.4911544122102478
-0.06737655988016521,-0.06737655988016521,-0.48736063800506035,-0.48736063800506035
-0.04957518781162305,-0.04957518781162305,-0.483565079448129,-0.483565079448129
-0.03180882079399304,-0.03180882079399304,-0.4797672182007511,-0.4797672182007511
-0.014086693283082402,-0.014086693283082402,-0.4759669018390539,-0.4759669018390539
0.0035746017997709267,0.0035746017997709267,-0.4721655614773711,-0.4721655614773711
0.02115957989390227,0.02115957989390227,-0.46836441393671513,-0.46836441393671513
0.03865441805485256,0.03865441805485256,-0.46456434496626275,-0.46456434496626275
0.056046812049281136,0.056046812049281136,-0.46076593903673335,-0.46076593903673335
0.07332582002148408,0.07332582002148408,-0.4569695103660725,-0.4569695103660725
0.090481695655805,0.090481695655805,-0.45317513497377215,-0.45317513497377215
0.10750571361404054,0.10750571361404054,-0.4493826835996414,-0.4493826835996414
0.12438998986899,0.12438998986899,-0.4455918553598468,-0.4455918553598468
0.14112729940128257,0.14112729940128257,-0.4418022120460018,-0.4418022120460018
0.15771089359033627,0.15771089359033627,-0.4380132130005865,-0.4380132130005865
0.1741343195224143,0.1741343195224143,-0.43422425052284885,-0.43422425052284885
0.19039124336648186,0.19039124336648186,-0.43043468577253996,-0.43043468577253996
0.20647527993578588,0.20647527993578588,-0.4266438851435057,-0.4266438851435057
0.22237983056011126,0.22237983056011126,-0.42285125707459637,-0.42285125707459637
0.2380979314372981,0.2380979314372981,-0.419056289251041,-0.419056289251041
0.2536223457970205,0.2536223457970205,-0.4152585292059212,-0.4152585292059212
0.2689427801531644,0.2689427801531644,-0.411458282520226,-0.411458282520226
0.28404452354460397,0.28404452354460397,-0.407657014174595,-0.407657014174595
0.2989143305339397,0.2989143305339397,-0.40385592834755146,-0.40385592834755146
0.313540630547091,0.313540630547091,-0.4000559014141135,-0.4000559014141135
0.3279133389585609,0.3279133389585609,-0.3962575114938083,-0.3962575114938083
0.34202366456467403,0.34202366456467403,-0.39246106921840085,-0.39246106921840085
0.3558639165143501,0.3558639165143501,-0.3886666495183664,-0.3886666495183664
0.36942731350214253,0.36942731350214253,-0.3848741242659123,-0.3848741242659123
0.38270779777673336,0.38270779777673336,-0.3810831956487045,-0.3810831956487045
0.39569985629209636,0.39569985629209636,-0.37729343018079,-0.37729343018079
0.40839835113664225,0.40839835113664225,-0.37350429328419255,-0.37350429328419255
0.4207983612226337,0.4207983612226337,-0.36971518439509654,-0.36971518439509654
0.4328950371050164,0.4328950371050164,-0.36592547256144237,-0.36592547256144237
0.4446834707233164,0.4446834707233164,-0.3621345325032652,-0.3621345325032652
0.4561585818165744,0.4561585818165744,-0.35834178110256454,-0.35834178110256454
0.4673150227406109,0.4673150227406109,-0.3545467142753358,-0.3545467142753358
0.4781475232087724,0.4781475232087724,-0.3507487946483038,-0.3507487946483038
0.48864913222811257,0.48864913222811257,-0.34694809145138616,-0.34694809145138616
0.4988090372766918,0.4988090372766918,-0.34314621500817133,-0.34314621500817133
0.5086178569270469,0.5086178569270469,-0.3393445127466358,-0.3393445127466358
0.5180677814022393,0.5180677814022393,-0.3355439719653547,-0.3355439719653547
0.5271523472033341,0.5271523472033341,-0.3317452517524473,-0.3317452517524473
0.5358662186296613,0.5358662186296613,-0.3279487162654171,-0.3279487162654171
0.544204979274868,0.544204979274868,-0.32415446913731927,-0.32415446913731927
0.5521649361773211,0.5521649361773211,-0.320362388820974,-0.320362388820974
